"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs_count","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_count_chg","oty_qtrly_estabs_count_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"13031","1","923130","78","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 923130 Other human resource programs administration","County, NAICS 6-digit -- by ownership sector","All establishment sizes",1,16,16,16,295425,0,0,1420,"",4.43,1.28,1.29,1.35,1.88,0.00,0.00,1.44,"",0,0.0,1,6.7,1,6.7,1,6.7,28806,10.8,0,0.0,0,0.0,53,3.9
"13031","1","924","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,17,22,17,238925,0,0,985,"",2.52,1.12,1.39,1.10,1.26,0.00,0.00,1.05,"",0,0.0,-2,-10.5,6,37.5,2,13.3,-21391,-8.2,0,0.0,0,0.0,-216,-18.0
"13031","1","924","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 924 Administration of environmental programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",2,21,17,17,247174,0,0,1037,"",2.53,1.31,1.00,1.00,1.28,0.00,0.00,1.17,"",0,0.0,6,40.0,2,13.3,-4,-19.0,19138,8.4,0,0.0,0,0.0,5,0.5
"13031","1","9241","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,17,22,17,238925,0,0,985,"",2.52,1.12,1.39,1.10,1.26,0.00,0.00,1.05,"",0,0.0,-2,-10.5,6,37.5,2,13.3,-21391,-8.2,0,0.0,0,0.0,-216,-18.0
"13031","1","9241","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 9241 Administration of environmental programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",2,21,17,17,247174,0,0,1037,"",2.53,1.31,1.00,1.00,1.28,0.00,0.00,1.17,"",0,0.0,6,40.0,2,13.3,-4,-19.0,19138,8.4,0,0.0,0,0.0,5,0.5
"13031","1","92412","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,17,22,17,238925,0,0,985,"",2.66,1.39,1.70,1.35,1.72,0.00,0.00,1.16,"",0,0.0,-2,-10.5,6,37.5,2,13.3,-21391,-8.2,0,0.0,0,0.0,-216,-18.0
"13031","1","92412","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 92412 Administration of conservation programs","County, NAICS 5-digit -- by ownership sector","All establishment sizes",2,21,17,17,247174,0,0,1037,"",2.66,1.59,1.20,1.20,1.70,0.00,0.00,1.29,"",0,0.0,6,40.0,2,13.3,-4,-19.0,19138,8.4,0,0.0,0,0.0,5,0.5
"13031","1","924120","78","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,17,22,17,238925,0,0,985,"",2.66,1.39,1.70,1.35,1.72,0.00,0.00,1.16,"",0,0.0,-2,-10.5,6,37.5,2,13.3,-21391,-8.2,0,0.0,0,0.0,-216,-18.0
"13031","1","924120","78","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 924120 Administration of conservation programs","County, NAICS 6-digit -- by ownership sector","All establishment sizes",2,21,17,17,247174,0,0,1037,"",2.66,1.59,1.20,1.20,1.70,0.00,0.00,1.29,"",0,0.0,6,40.0,2,13.3,-4,-19.0,19138,8.4,0,0.0,0,0.0,5,0.5
"13031","1","926","75","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,62774,0,0,1207,"",0.81,0.10,0.09,0.10,0.11,0.00,0.00,1.17,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-24367,-28.0,0,0.0,0,0.0,-134,-10.0
"13031","1","926","75","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 926 Administration of economic programs","County, NAICS 3-digit -- by ownership sector","All establishment sizes",1,4,4,4,65084,0,0,1252,"",0.80,0.09,0.10,0.10,0.12,0.00,0.00,1.21,"",0,0.0,-1,-20.0,-1,-20.0,0,0.0,5208,8.7,0,0.0,0,0.0,265,26.8
"13031","1","9261","76","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,62774,0,0,1207,"",0.81,0.10,0.09,0.10,0.11,0.00,0.00,1.17,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-24367,-28.0,0,0.0,0,0.0,-134,-10.0
"13031","1","9261","76","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 9261 Administration of economic programs","County, NAICS 4-digit -- by ownership sector","All establishment sizes",1,4,4,4,65084,0,0,1252,"",0.80,0.09,0.10,0.10,0.12,0.00,0.00,1.21,"",0,0.0,-1,-20.0,-1,-20.0,0,0.0,5208,8.7,0,0.0,0,0.0,265,26.8
"13031","1","92614","77","0","2019","1","","Bulloch County, Georgia","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,62774,0,0,1207,"",2.07,0.54,0.50,0.52,0.74,0.00,0.00,1.43,"",0,0.0,-1,-20.0,-1,-20.0,-1,-20.0,-24367,-28.0,0,0.0,0,0.0,-134,-10.0
"13031","1","92614","77","0","2019","2","","Bulloch County, Georgia","Federal Government","NAICS 92614 Agricultural market and commodity regulation","County, NAICS 5-digit -- by ownership sector","All establishment sizes",1,4,4,4,65084,0,0,1252,"",2.08,0.49,0.52,0.53,0.73,0.00,0.00,1.41,"",0,0.0,-1,-20.0,-1,-20.0,0,0.0,5208,8.7,0,0.0,0,0.0,265,26.8
